url,store,price_color,merchant_domain,name,affiliate_url
https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-256gb-8gb-cmera-50mp-verde/p/MLB54963045#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=16&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4403262259&sid=offers,ML,#FFD700,Afiliado,Celular Samsung Galaxy A07 256Gb 8Gb Cmera 50Mp Verde,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-256gb-8gb-cmera-50mp-verde/p/MLB54963045#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=16&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4403262259&sid=offers
https://www.mercadolivre.com.br/smart-tv-samsung-32-ls32h5000fgxzd-hd-led-wifi-hdmi-110220v/p/MLB2056465773#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=19&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5933610210&sid=offers,ML,#FFD700,Afiliado,Smart Tv Samsung 32 Ls32H5000Fgxzd Hd Led Wifi Hdmi 110220V,https://www.mercadolivre.com.br/smart-tv-samsung-32-ls32h5000fgxzd-hd-led-wifi-hdmi-110220v/p/MLB2056465773#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=19&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5933610210&sid=offers
https://www.mercadolivre.com.br/deo-parfum-natura-essencial-sentir-masculino-100-ml/p/MLB42149268#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=20&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3910967033&sid=offers,ML,#FFD700,Afiliado,Deo Parfum Natura Essencial Sentir Masculino 100 Ml,https://www.mercadolivre.com.br/deo-parfum-natura-essencial-sentir-masculino-100-ml/p/MLB42149268#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=20&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3910967033&sid=offers
https://www.mercadolivre.com.br/lavadora-de-alta-presso-vonder-leve-lav-1300-90bar-cor-amarelo-preto-frequncia-60-hz/p/MLB28531553#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=22&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3838432351&sid=offers,ML,#FFD700,Afiliado,Lavadora De Alta Presso Vonder Leve Lav 1300 90Bar Cor Amarelo Preto Frequncia 60 Hz,https://www.mercadolivre.com.br/lavadora-de-alta-presso-vonder-leve-lav-1300-90bar-cor-amarelo-preto-frequncia-60-hz/p/MLB28531553#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=22&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3838432351&sid=offers
https://www.mercadolivre.com.br/creatina-monohidratada-pura-600g-dark-lab-unidade/p/MLB39089853#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=23&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3807070759&sid=offers,ML,#FFD700,Afiliado,Creatina Monohidratada Pura 600G Dark Lab Unidade,https://www.mercadolivre.com.br/creatina-monohidratada-pura-600g-dark-lab-unidade/p/MLB39089853#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=23&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3807070759&sid=offers
https://www.mercadolivre.com.br/cadeira-escritorio-ergonmica-genebra-b500-luvinco-cor-preto-com-suporte-lombar-estofado-mesh/p/MLB46220740#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=24&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5329836232&sid=offers,ML,#FFD700,Afiliado,Cadeira Escritorio Ergonmica Genebra B500 Luvinco Cor Preto Com Suporte Lombar Estofado Mesh,https://www.mercadolivre.com.br/cadeira-escritorio-ergonmica-genebra-b500-luvinco-cor-preto-com-suporte-lombar-estofado-mesh/p/MLB46220740#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=24&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB5329836232&sid=offers
https://www.mercadolivre.com.br/smart-tv-32-philco-p32vik-roku-led-dolby-audio-hdr-wi-fi-110220v/p/MLB63036814#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=25&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4367472233&sid=offers,ML,#FFD700,Afiliado,Smart Tv 32 Philco P32Vik Roku Led Dolby Audio Hdr Wi Fi 110220V,https://www.mercadolivre.com.br/smart-tv-32-philco-p32vik-roku-led-dolby-audio-hdr-wi-fi-110220v/p/MLB63036814#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=25&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB4367472233&sid=offers
https://www.mercadolivre.com.br/conj-de-panelas-8-pecas-ceramic-life-smart-plus-vanilla-brinox/p/MLB32717965#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=27&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3797364569&sid=offers,ML,#FFD700,Afiliado,Conj De Panelas 8 Pecas Ceramic Life Smart Plus Vanilla Brinox,https://www.mercadolivre.com.br/conj-de-panelas-8-pecas-ceramic-life-smart-plus-vanilla-brinox/p/MLB32717965#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=27&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3797364569&sid=offers
https://www.mercadolivre.com.br/creatina-monohidratada-1kg-soldiers-nutrition-100-pura-importada-alta-performance-musculo-treino/p/MLB18725310#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=30&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB2766771378&sid=offers,ML,#FFD700,Afiliado,Creatina Monohidratada 1Kg Soldiers Nutrition 100 Pura Importada Alta Performance Musculo Treino,https://www.mercadolivre.com.br/creatina-monohidratada-1kg-soldiers-nutrition-100-pura-importada-alta-performance-musculo-treino/p/MLB18725310#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=30&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB2766771378&sid=offers
https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-u300-120-ghz-ate-44ghz-8-mb-l3-cache-windows-11-home-8gb-256gb-ssd-uhd-graphics-156-full-hd-led-155kg/p/MLB40347107#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=31&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3847742125&sid=offers,ML,#FFD700,Afiliado,Notebook Samsung Galaxy Book4 Intel U300 120 Ghz Ate 44Ghz 8 Mb L3 Cache Windows 11 Home 8Gb 256Gb Ssd Uhd Graphics 156 Full Hd Led 155Kg,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-u300-120-ghz-ate-44ghz-8-mb-l3-cache-windows-11-home-8gb-256gb-ssd-uhd-graphics-156-full-hd-led-155kg/p/MLB40347107#polycard_client=offers&deal_print_id=0c126a7b-4f62-4125-8cba-eb16087106cb&position=31&tracking_id=74b7b484-d820-4dc0-8744-300a98dfb9ab&wid=MLB3847742125&sid=offers
